1987,80
1991,77
1994,60
1998,72
1999,79
2000,82
2001,68
2002,83
2003,81
2004,82
2005,80
2006,80
2007,80
2008,79
2009,81
2010,81
2011,81
2012,85
2013,86
2014,83
2015,84
2016,84
2017,84
2018,82
2019,88
2020,82
2021,87
2022,90
2023,87
2024,96
